                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.49378,                0.97813,                0.36457,                0.89914,                0.81377,                0.79275,                0.85679,                0.63061,                0.81328,                0.79426,                0.84855,                0.59538,                0.69504,                 1.4006,                0.52515,                 1.0642,             0.00024076,             0.00024076,             0.00024076
                     78,                0.46992,                0.95315,                0.35478,                0.89562,                0.84839,                0.82699,                0.85639,                0.62779,                0.80454,                0.78319,                 0.8451,                0.59264,                0.69858,                 1.4068,                0.51528,                   1.07,             0.00023077,             0.00023077,             0.00023077
                     79,                0.47744,                0.96839,                0.35057,                0.90211,                0.84118,                0.82282,                0.85908,                0.62902,                0.83893,                0.82073,                0.85081,                0.59627,                0.69583,                 1.4086,                0.51797,                 1.0684,             0.00022078,             0.00022078,             0.00022078
                     80,                0.49404,                0.95998,                0.36159,                0.90079,                0.84777,                0.81495,                0.85214,                 0.6386,                0.84661,                 0.8139,                0.84461,                0.59456,                0.70895,                 1.4129,                0.52909,                 1.0732,             0.00021079,             0.00021079,             0.00021079
                     81,                0.47394,                0.95415,                0.34403,                0.89773,                0.85538,                0.81313,                0.84736,                0.65721,                0.85538,                0.81313,                0.84075,                0.59646,                0.70494,                 1.4071,                0.53423,                 1.0691,              0.0002008,              0.0002008,              0.0002008
                     82,                0.47031,                0.91063,                0.33961,                0.89213,                0.81849,                0.81753,                0.83379,                0.63164,                0.81737,                0.81649,                0.82682,                0.58336,                0.69567,                 1.3934,                0.52291,                  1.063,             0.00019081,             0.00019081,             0.00019081
                     83,                0.47631,                0.95318,                0.34386,                0.89408,                0.86641,                0.75412,                0.84725,                0.64469,                0.86641,                0.75412,                0.83908,                0.59348,                0.69963,                 1.4064,                0.52003,                 1.0683,             0.00018082,             0.00018082,             0.00018082
                     84,                0.46982,                 0.9433,                0.34706,                0.88707,                0.76522,                0.84842,                0.83658,                0.63622,                0.76484,                0.84738,                0.82929,                0.58486,                0.70651,                 1.4015,                0.51246,                 1.0715,             0.00017083,             0.00017083,             0.00017083
                     85,                0.47355,                0.93752,                0.35567,                0.89223,                0.84769,                0.75637,                0.82948,                0.63229,                0.75695,                0.83707,                0.81526,                 0.5741,                0.71248,                 1.4101,                0.51116,                 1.0778,             0.00016084,             0.00016084,             0.00016084
                     86,                0.45455,                0.92621,                0.33857,                 0.8891,                 0.7912,                0.82436,                0.81809,                0.61604,                0.79006,                0.82332,                0.80155,                0.56881,                0.71383,                  1.414,                0.51762,                  1.082,             0.00015085,             0.00015085,             0.00015085
                     87,                 0.4517,                0.90099,                0.33684,                0.89534,                0.78401,                0.83482,                0.82633,                 0.6204,                0.78293,                0.83378,                 0.8095,                0.56793,                0.71012,                 1.4167,                0.51323,                 1.0775,             0.00014086,             0.00014086,             0.00014086
                     88,                0.47668,                 0.9326,                0.35431,                0.89707,                0.85386,                0.76527,                   0.84,                0.63539,                0.78183,                0.83378,                0.82741,                0.58431,                0.71105,                 1.3986,                0.51632,                 1.0785,             0.00013087,             0.00013087,             0.00013087
                     89,                0.46013,                0.92972,                0.34356,                0.88802,                0.78187,                0.82645,                0.84525,                0.62727,                0.78187,                0.82645,                0.83503,                0.58822,                0.70239,                 1.3951,                0.51617,                 1.0746,             0.00012088,             0.00012088,             0.00012088
                     90,                0.46607,                0.95373,                0.35049,                 0.8854,                0.82382,                0.81602,                0.84221,                0.62296,                0.89743,                 0.6919,                0.82095,                0.57608,                0.70728,                 1.3966,                0.51934,                 1.0736,             0.00011089,             0.00011089,             0.00011089
                     91,                0.43977,                0.88489,                0.31996,                0.88103,                 0.8446,                0.79817,                0.81924,                0.58996,                 0.8446,                0.79817,                0.81193,                 0.5599,                0.70828,                 1.4557,                0.50891,                  1.083,              0.0001009,              0.0001009,              0.0001009
                     92,                0.41549,                0.85704,                0.30394,                0.85573,                0.82324,                0.80381,                0.81335,                0.58919,                0.82324,                0.80381,                 0.8042,                0.55796,                 0.7057,                 1.4869,                0.52172,                 1.0855,              9.091e-05,              9.091e-05,              9.091e-05
                     93,                0.40666,                0.83217,                0.28613,                0.85114,                0.79801,                0.82122,                0.80953,                0.58961,                0.79952,                0.82227,                 0.7997,                0.55732,                0.70404,                 1.4959,                0.52847,                 1.0808,              8.092e-05,              8.092e-05,              8.092e-05
                     94,                0.40857,                0.83484,                0.28772,                0.85719,                0.86262,                 0.7513,                0.81764,                0.59677,                0.86257,                0.74957,                0.80969,                 0.5573,                0.70539,                 1.4943,                0.53287,                 1.0789,              7.093e-05,              7.093e-05,              7.093e-05
                     95,                0.39753,                0.81249,                  0.273,                0.85138,                0.86241,                0.76647,                0.83311,                0.62726,                0.86121,                0.76542,                0.82419,                0.58235,                0.70393,                 1.4903,                0.52515,                 1.0742,              6.094e-05,              6.094e-05,              6.094e-05
                     96,                0.40376,                0.81336,                0.27948,                0.85491,                0.85644,                0.75602,                0.82956,                 0.6129,                0.85525,                0.75497,                0.82037,                0.57718,                0.69759,                 1.4689,                0.52288,                   1.07,              5.095e-05,              5.095e-05,              5.095e-05
                     97,                0.40834,                0.82633,                0.28227,                0.84894,                 0.8565,                0.77232,                 0.8321,                0.62012,                0.85417,                0.77023,                0.82313,                0.58691,                0.69896,                 1.4519,                0.52027,                 1.0718,              4.096e-05,              4.096e-05,              4.096e-05
                     98,                 0.4208,                0.84474,                0.29168,                0.85873,                0.77752,                 0.8385,                 0.8333,                0.62358,                0.77478,                0.83399,                0.82445,                0.58683,                0.69763,                 1.4616,                0.52864,                  1.069,              3.097e-05,              3.097e-05,              3.097e-05
                     99,                0.40021,                0.81242,                0.27743,                0.84908,                0.74927,                0.84295,                0.83578,                 0.6175,                0.74846,                 0.8411,                0.82704,                0.58841,                0.69775,                 1.4427,                0.51699,                 1.0695,              2.098e-05,              2.098e-05,              2.098e-05
                    100,                0.40504,                0.82687,                0.28874,                0.84938,                0.78459,                0.83251,                0.83197,                 0.6259,                 0.7832,                0.83026,                0.82295,                0.58882,                0.69738,                 1.4497,                0.52124,                 1.0665,              1.099e-05,              1.099e-05,              1.099e-05
